tm,MVm,PVm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+00,-7.500000000000284217e-04
5.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+00,7.500000000000284217e-04
1.000000000000000000e+01,1.000000000000000000e+00,1.500000000000056843e-03
1.100000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,1.000000000000000000e+00,3.250000000000064036e-03
1.400000000000000000e+01,1.000000000000000000e+00,2.500000000000035614e-03
1.500000000000000000e+01,1.000000000000000000e+00,4.750000000000120445e-03
1.600000000000000000e+01,1.000000000000000000e+00,7.249999999999978684e-03
1.700000000000000000e+01,1.000000000000000000e+00,7.249999999999978684e-03
1.800000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
1.900000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
2.000000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
2.100000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
2.200000000000000000e+01,1.000000000000000000e+00,9.750000000000013864e-03
2.300000000000000000e+01,1.000000000000000000e+00,8.750000000000035527e-03
2.400000000000000000e+01,1.000000000000000000e+00,1.200000000000009913e-02
2.500000000000000000e+01,1.000000000000000000e+00,1.300000000000007747e-02
2.600000000000000000e+01,1.000000000000000000e+00,1.375000000000010589e-02
2.700000000000000000e+01,1.000000000000000000e+00,1.449999999999995737e-02
2.800000000000000000e+01,1.000000000000000000e+00,1.600000000000001421e-02
2.900000000000000000e+01,1.000000000000000000e+00,1.600000000000001421e-02
3.000000000000000000e+01,1.000000000000000000e+00,1.850000000000005113e-02
3.100000000000000000e+01,1.000000000000000000e+00,2.025000000000005615e-02
3.200000000000000000e+01,1.000000000000000000e+00,2.324999999999999289e-02
3.300000000000000000e+01,1.000000000000000000e+00,2.249999999999996447e-02
3.400000000000000000e+01,1.000000000000000000e+00,1.200000000000009913e-02
3.500000000000000000e+01,1.000000000000000000e+00,2.500000000000000139e-02
3.600000000000000000e+01,1.000000000000000000e+00,2.575000000000002981e-02
3.700000000000000000e+01,1.000000000000000000e+00,3.049999999999997158e-02
3.800000000000000000e+01,1.000000000000000000e+00,3.224999999999998007e-02
3.900000000000000000e+01,1.000000000000000000e+00,2.825000000000006325e-02
4.000000000000000000e+01,1.000000000000000000e+00,3.550000000000004541e-02
4.100000000000000000e+01,1.000000000000000000e+00,3.949999999999995876e-02
4.200000000000000000e+01,1.000000000000000000e+00,4.024999999999998718e-02
4.300000000000000000e+01,1.000000000000000000e+00,4.100000000000001560e-02
4.400000000000000000e+01,1.000000000000000000e+00,4.100000000000001560e-02
4.500000000000000000e+01,1.000000000000000000e+00,4.100000000000001560e-02
4.600000000000000000e+01,1.000000000000000000e+00,4.275000000000002409e-02
4.700000000000000000e+01,1.000000000000000000e+00,4.675000000000011091e-02
4.800000000000000000e+01,1.000000000000000000e+00,4.749999999999996586e-02
4.900000000000000000e+01,1.000000000000000000e+00,4.500000000000010936e-02
5.000000000000000000e+01,1.000000000000000000e+00,4.425000000000008094e-02
5.100000000000000000e+01,1.000000000000000000e+00,4.600000000000008249e-02
5.200000000000000000e+01,1.000000000000000000e+00,4.824999999999999428e-02
5.300000000000000000e+01,1.000000000000000000e+00,5.000000000000000278e-02
5.400000000000000000e+01,1.000000000000000000e+00,5.225000000000008804e-02
5.500000000000000000e+01,1.000000000000000000e+00,5.650000000000012651e-02
5.600000000000000000e+01,1.000000000000000000e+00,5.650000000000012651e-02
5.700000000000000000e+01,1.000000000000000000e+00,5.950000000000006672e-02
5.800000000000000000e+01,1.000000000000000000e+00,6.449999999999996014e-02
5.900000000000000000e+01,1.000000000000000000e+00,6.449999999999996014e-02
6.000000000000000000e+01,1.000000000000000000e+00,6.600000000000001699e-02
6.100000000000000000e+01,1.000000000000000000e+00,7.249999999999996725e-02
6.200000000000000000e+01,1.000000000000000000e+00,7.249999999999996725e-02
6.300000000000000000e+01,1.000000000000000000e+00,7.249999999999996725e-02
6.400000000000000000e+01,1.000000000000000000e+00,7.575000000000002565e-02
6.500000000000000000e+01,1.000000000000000000e+00,7.975000000000012634e-02
6.600000000000000000e+01,1.000000000000000000e+00,8.049999999999997435e-02
6.700000000000000000e+01,1.000000000000000000e+00,8.125000000000000278e-02
6.800000000000000000e+01,1.000000000000000000e+00,8.125000000000000278e-02
6.900000000000000000e+01,1.000000000000000000e+00,8.375000000000003275e-02
7.000000000000000000e+01,1.000000000000000000e+00,8.550000000000004818e-02
7.100000000000000000e+01,1.000000000000000000e+00,8.875000000000010658e-02
7.200000000000000000e+01,1.000000000000000000e+00,8.875000000000010658e-02
7.300000000000000000e+01,1.000000000000000000e+00,9.275000000000002687e-02
7.400000000000000000e+01,1.000000000000000000e+00,9.675000000000011369e-02
7.500000000000000000e+01,1.000000000000000000e+00,9.749999999999996170e-02
7.600000000000000000e+01,1.000000000000000000e+00,1.007500000000000340e-01
7.700000000000000000e+01,1.000000000000000000e+00,1.047500000000001208e-01
7.800000000000000000e+01,1.000000000000000000e+00,1.062499999999999972e-01
7.900000000000000000e+01,1.000000000000000000e+00,1.080000000000000127e-01
8.000000000000000000e+01,1.000000000000000000e+00,1.127500000000001279e-01
8.100000000000000000e+01,1.000000000000000000e+00,1.127500000000001279e-01
8.200000000000000000e+01,1.000000000000000000e+00,1.160000000000000198e-01
8.300000000000000000e+01,1.000000000000000000e+00,1.185000000000000497e-01
8.400000000000000000e+01,1.000000000000000000e+00,1.192500000000000782e-01
8.500000000000000000e+01,1.000000000000000000e+00,1.207499999999999546e-01
8.600000000000000000e+01,1.000000000000000000e+00,1.217500000000001081e-01
8.700000000000000000e+01,1.000000000000000000e+00,1.250000000000000000e-01
8.800000000000000000e+01,1.000000000000000000e+00,1.250000000000000000e-01
8.900000000000000000e+01,1.000000000000000000e+00,1.272500000000000853e-01
9.000000000000000000e+01,1.000000000000000000e+00,1.290000000000000868e-01
9.100000000000000000e+01,1.000000000000000000e+00,1.297500000000001152e-01
9.200000000000000000e+01,1.000000000000000000e+00,1.304999999999999771e-01
9.300000000000000000e+01,1.000000000000000000e+00,1.362500000000000655e-01
9.400000000000000000e+01,1.000000000000000000e+00,1.370000000000000939e-01
9.500000000000000000e+01,1.000000000000000000e+00,1.377500000000001223e-01
9.600000000000000000e+01,1.000000000000000000e+00,1.442500000000000726e-01
9.700000000000000000e+01,1.000000000000000000e+00,1.450000000000001010e-01
9.800000000000000000e+01,1.000000000000000000e+00,1.457499999999999629e-01
9.900000000000000000e+01,1.000000000000000000e+00,1.490000000000000213e-01
1.000000000000000000e+02,1.000000000000000000e+00,1.530000000000001081e-01
1.010000000000000000e+02,1.000000000000000000e+00,1.530000000000001081e-01
1.020000000000000000e+02,1.000000000000000000e+00,1.547500000000001097e-01
1.030000000000000000e+02,1.000000000000000000e+00,1.570000000000000284e-01
1.040000000000000000e+02,1.000000000000000000e+00,1.612500000000000600e-01
